"date","title","source","url","file","keywords_matched","status","approved_by","approved_date","applied_by","applied_date","done_date","notes"
"2026-07-14 15:19","AI Application Development — NICSI 2026/05","NICSI Active Tenders","https://www.nicsi.com/nicsi/pdfs/tender/work_329777.zip","downloads\1 AI Application Development NICSIAI Application Development202605 2026_NICSI_282674_1 View  20-Jul-2026 0300 PM.zip","application development","approved","Samira","2026-08-28","","","","Good fit for startup wing"
"2026-07-14 15:19","AI-enabled Modernization and Digital Transformation — NICSI 2026/04","NICSI Active Tenders","https://www.nicsi.com/nicsi/pdfs/tender/work_328940.zip","downloads\2 AI-enabled Modernization and Digital Transformation NICSI AI-enabled Modernization and Digital Transformation 20260.zip","digital transformation","","","","","","",""
"2026-07-14 15:19","Annual Maintenance Contract for Networking Devices (GEM/2026/B/7557307)","NICSI GeM Bids","https://www.nicsi.com/nicsi/pdfs/gem-bids/28062026/GeM-Bidding-9348598.pdf","downloads\4 GEM2026B7557307 Open on GeM BidPlus 24-Jun-2026 04-Jul-2026 Annual Maintenance Contract for Networking Devices (Ve.pdf","annual maintenance","","","","","","",""
"2026-07-14 15:19","Hiring of Agency for IT Projects - Milestone Basis (GEM/2026/B/7580746)","NICSI GeM Bids","https://www.nicsi.com/nicsi/pdfs/gem-bids/28062026/GeM-Bidding-9374716.pdf","downloads\10 GEM2026B7580746 Open on GeM BidPlus 04-Jun-2026 15-Jun-2026 Hiring of Agency for IT Projects- Milestone basis.pdf","IT project","","","","","","",""
"2026-07-14 16:48","1 GEM/2026/B/7686708 Open on GeM BidPlus 25-Jun-2026 16-Jul-2026 Expiring Soon Advanced Installer- Enterprise Subscripti","NICSI GeM Bids","https://www.nicsi.com/nicsi/pdfs/gem-bids/28062026/GeM-Bidding-9493196.pdf","C:\Users\Samir\Desktop\RFP\downloads\1 GEM2026B7686708 Open on GeM BidPlus 25-Jun-2026 16-Jul-2026 Expiring Soon Advanced Installer- Enterprise Subscripti_1.pdf","ERP","","","","","","",""
"2026-07-14 16:48","2 GEM/2026/B/7650530 Open on GeM BidPlus 23-Jun-2026 14-Jul-2026 Expiring Soon Microsoft SQL server 2022 Enterprise Edit","NICSI GeM Bids","https://www.nicsi.com/nicsi/pdfs/gem-bids/28062026/GeM-Bidding-9452742.pdf","C:\Users\Samir\Desktop\RFP\downloads\2 GEM2026B7650530 Open on GeM BidPlus 23-Jun-2026 14-Jul-2026 Expiring Soon Microsoft SQL server 2022 Enterprise Edit_1.pdf","ERP","","","","","","",""
"2026-07-14 16:48","3 GEM/2026/B/7652020 Open on GeM BidPlus 17-Jun-2026 08-Jul-2026 Dell Power Store Storage Enterprise 650 TB","NICSI GeM Bids","https://www.nicsi.com/nicsi/pdfs/gem-bids/28062026/GeM-Bidding-9454368.pdf","C:\Users\Samir\Desktop\RFP\downloads\3 GEM2026B7652020 Open on GeM BidPlus 17-Jun-2026 08-Jul-2026 Dell Power Store Storage Enterprise 650 TB_1.pdf","ERP","","","","","","",""
"2026-07-14 16:48","5 GEM/2026/B/7637775 Open on GeM BidPlus 10-Jun-2026 01-Jul-2026 Tablet Computer (V2) (Q2) ( PAC Only ) , All in One PC ","NICSI GeM Bids","https://www.nicsi.com/nicsi/pdfs/gem-bids/28062026/GeM-Bidding-9438636.pdf","C:\Users\Samir\Desktop\RFP\downloads\5 GEM2026B7637775 Open on GeM BidPlus 10-Jun-2026 01-Jul-2026 Tablet Computer (V2) (Q2) ( PAC Only )  All in One PC_1.pdf","computer","","","","","","",""
"2026-07-14 16:48","8 GEM/2026/B/7617130 Open on GeM BidPlus 08-Jun-2026 29-Jun-2026 Microsoft Office Professional Plus 2024 LTSC( perpetual","NICSI GeM Bids","https://www.nicsi.com/nicsi/pdfs/gem-bids/28062026/GeM-Bidding-9415539.pdf","C:\Users\Samir\Desktop\RFP\downloads\8 GEM2026B7617130 Open on GeM BidPlus 08-Jun-2026 29-Jun-2026 Microsoft Office Professional Plus 2024 LTSC( perpetual_1.pdf","ERP","approved","","","","","",""
"2026-08-17 13:38","1 GEM/2026/B/7801408 Open on GeM BidPlus 21-Jul-2026 11-Aug-2026 Expiring Soon SERVER LOAD BALANCER and WEB APPLICATION ","NICSI GeM Bids","https://www.nicsi.com/nicsi/pdfs/gem-bids/23072026/GeM-Bidding-9623012.pdf","c:\Users\Samir\Desktop\RFP\downloads\1 GEM2026B7801408 Open on GeM BidPlus 21-Jul-2026 11-Aug-2026 Expiring Soon SERVER LOAD BALANCER and WEB APPLICATION_1.pdf","firewall","","","","","","",""
